slug,title,category,mode,compile,amp,batch_size,num_workers,average_step_ms,steady_state_step_ms,step_time_p50_ms,steady_state_samples_per_s,final_loss
baseline,Baseline,baseline,baseline,False,none,256,2,17.545172251266195,3.2021184459962466,3.449280502536567,79947.07388794076,6.930306911468506
data_workers0,Data bottleneck (workers=0),data,data,False,none,256,0,633.7874950835006,622.3650772000838,620.9545729980164,411.33413390047707,6.9278178215026855
data_workers4,Data bottleneck fixed (workers=4),data,data,False,none,256,4,157.98500733277857,106.69751219902537,1.986171497264877,2399.306176159733,6.9278178215026855
data_workers8,Data bottleneck fixed (workers=8),data,data,False,none,256,8,108.05048816655471,43.78810869966401,1.6876284971658606,5846.336085348311,6.9278178215026855
torch_eager,Torch-bound eager,torch,torch,False,none,256,2,19.496691099993768,6.135556389280181,6.1568450000777375,41724.00736912366,7.387404441833496
torch_batch1024,Torch-bound larger batch (1024),torch,torch,False,none,1024,2,23.594018851508736,9.559415779222036,8.456016003037803,107119.5168878129,7.172086715698242
kernel_fp32,Kernel-bound fp32,kernel,kernel,False,none,512,2,21.489299750101054,4.491082599997753,3.9342784984910395,114003.69256184604,7.142707347869873
kernel_bf16,Kernel-bound bf16,kernel,kernel,False,bf16,512,2,28.361317417875398,4.6745220010052435,3.816737502347678,109529.91554856214,7.1422119140625
